ID_Competencia,Competencia,Num_Pregunta,Pregunta,Escala,Scoring
1,Orientación a Resultados,1,Establezco objetivos claros antes de iniciar un trabajo.,"Likert 1-5 (Nunca=1, Rara vez=2, Algunas veces=3, Frecuentemente=4, Siempre=5)",Suma por competencia / 25 × 100 = Score 0-100
1,Orientación a Resultados,2,Busco alternativas cuando encuentro obstáculos para cumplir una meta.,"Likert 1-5 (Nunca=1, Rara vez=2, Algunas veces=3, Frecuentemente=4, Siempre=5)",Suma por competencia / 25 × 100 = Score 0-100
1,Orientación a Resultados,3,Mantengo el enfoque hasta terminar las tareas asignadas.,"Likert 1-5 (Nunca=1, Rara vez=2, Algunas veces=3, Frecuentemente=4, Siempre=5)",Suma por competencia / 25 × 100 = Score 0-100
1,Orientación a Resultados,4,Me esfuerzo por superar los resultados esperados.,"Likert 1-5 (Nunca=1, Rara vez=2, Algunas veces=3, Frecuentemente=4, Siempre=5)",Suma por competencia / 25 × 100 = Score 0-100
1,Orientación a Resultados,5,Evalúo mis resultados para identificar oportunidades de mejora.,"Likert 1-5 (Nunca=1, Rara vez=2, Algunas veces=3, Frecuentemente=4, Siempre=5)",Suma por competencia / 25 × 100 = Score 0-100
2,Trabajo en Equipo,1,Comparto información útil con mis compañeros.,"Likert 1-5 (Nunca=1, Rara vez=2, Algunas veces=3, Frecuentemente=4, Siempre=5)",Suma por competencia / 25 × 100 = Score 0-100
2,Trabajo en Equipo,2,Estoy dispuesto a apoyar a otros cuando lo necesitan.,"Likert 1-5 (Nunca=1, Rara vez=2, Algunas veces=3, Frecuentemente=4, Siempre=5)",Suma por competencia / 25 × 100 = Score 0-100
2,Trabajo en Equipo,3,Escucho y considero las opiniones de los demás.,"Likert 1-5 (Nunca=1, Rara vez=2, Algunas veces=3, Frecuentemente=4, Siempre=5)",Suma por competencia / 25 × 100 = Score 0-100
2,Trabajo en Equipo,4,Colaboro para resolver conflictos dentro del equipo.,"Likert 1-5 (Nunca=1, Rara vez=2, Algunas veces=3, Frecuentemente=4, Siempre=5)",Suma por competencia / 25 × 100 = Score 0-100
2,Trabajo en Equipo,5,Celebro los logros colectivos más que los individuales.,"Likert 1-5 (Nunca=1, Rara vez=2, Algunas veces=3, Frecuentemente=4, Siempre=5)",Suma por competencia / 25 × 100 = Score 0-100
3,Comunicación,1,Expreso mis ideas de forma clara y organizada.,"Likert 1-5 (Nunca=1, Rara vez=2, Algunas veces=3, Frecuentemente=4, Siempre=5)",Suma por competencia / 25 × 100 = Score 0-100
3,Comunicación,2,Adapto mi comunicación según la persona con quien hablo.,"Likert 1-5 (Nunca=1, Rara vez=2, Algunas veces=3, Frecuentemente=4, Siempre=5)",Suma por competencia / 25 × 100 = Score 0-100
3,Comunicación,3,Escucho atentamente antes de responder.,"Likert 1-5 (Nunca=1, Rara vez=2, Algunas veces=3, Frecuentemente=4, Siempre=5)",Suma por competencia / 25 × 100 = Score 0-100
3,Comunicación,4,Confirmo que mi mensaje haya sido comprendido.,"Likert 1-5 (Nunca=1, Rara vez=2, Algunas veces=3, Frecuentemente=4, Siempre=5)",Suma por competencia / 25 × 100 = Score 0-100
